Name,Ingredients,Instructions,nutr_per_ingredient,fsa_lights_per100g,nutr_values_per100g,quantity,unit,weight_per_ingr
Spice Rubbed Chicken,"['chicken, broiler or fryers, breast, skinless, boneless, meat only, raw', 'sugars, brown', 'spices, cumin seed', 'salt, table', 'spices, pepper, black', 'spices, garlic powder']","['Trim chicken of visible fat.', 'Mix dry ingredients together and rub on chicken.', 'Spray large, nonstick skillet with cooking spray.', 'Heat over high heat until just smoking.', 'Add chicken.', 'Immediately reduce heat to medium and let cook for 3-4 minutes.', 'Turn chicken and cook until done through, 4-5 minutes more.', 'Top with fruit salsa, regular salsa, guacomole or another sauce, if desired.']","[{'fat': 11.8841104, 'nrg': 544.3104, 'pro': 102.0582, 'sat': 2.5537229599999995, 'sod': 204.1164, 'sug': 0.0}, {'fat': 0.0, 'nrg': 7392.0, 'pro': 0.0, 'sat': 0.0, 'sod': 672.0, 'sug': 1955.5200000000002}, {'fat': 2.82, 'nrg': 48.0, 'pro': 2.22, 'sat': 0.192, 'sod': 24.0, 'sug': 0.30000000000000004}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 0.07, 'nrg': 6.0, 'pro': 0.23999999999999996, 'sat': 0.032, 'sod': 0.0, 'sug': 0.01}, {'fat': 0.24000000000000002, 'nrg': 120.0, 'pro': 6.12, 'sat': 0.096, 'sod': 24.0, 'sug': 0.9600000000000001}]","{'fat': 'green', 'salt': 'orange', 'saturates': 'green', 'sugars': 'red'}","{'energy': 320.8583324234124, 'fat': 0.5939849633578775, 'protein': 4.377044355087565, 'salt': 0.32135208720049746, 'saturates': 0.11368960142295818, 'sugars': 77.41409950262928}","['1', '14', '2', '1', '1', '12']","['pound', 'cup', 'tablespoon', 'teaspoon', 'teaspoon', 'teaspoon']","[453.592, 2016.0, 12.600000000000001, 6.0, 2.3, 37.2]"
Crustless Cheddar Broccoli Quiche,"['oil, canola', 'onions, raw', 'broccoli, raw', 'egg substitute, powder', 'cheese, cottage, creamed, large or small curd', 'cheese, cheddar', 'spices, pepper, black']","['Preheat oven to 350.', 'Heat oil in small nonstick skillet on medium-high heat.', 'Add onions; cook 5 minutes or until onions are tender, stirring occasionally.', 'Add broccoli; mix well.', 'Spoon into 9-inch pie plate sprayed with cooking spray.', 'Mix remaining ingredients until well blended; over broccoli layer.', 'Bake 45-50 minutes or until center is set and top is golden brown.']","[{'fat': 4.666666666666666, 'nrg': 41.33333333333333, 'pro': 0.0, 'sat': 0.3436666666666666, 'sod': 0.0, 'sug': 0.0}, {'fat': 2.24, 'nrg': 896.0, 'pro': 24.64, 'sat': 0.9380000000000001, 'sod': 84.0, 'sug': 94.92}, {'fat': 1.0489315000000001, 'nrg': 96.38830000000002, 'pro': 7.994559, 'sat': 0.11056305, 'sod': 93.55335000000001, 'sug': 4.819415}, {'fat': 22.1, 'nrg': 754.8000000000001, 'pro': 94.35000000000001, 'sat': 6.4022, 'sod': 1360.0, 'sug': 37.06}, {'fat': 108.35999999999999, 'nrg': 2472.0, 'pro': 280.20000000000005, 'sat': 43.296, 'sod': 9168.0, 'sug': 67.32000000000001}, {'fat': 527.64, 'nrg': 6396.0, 'pro': 362.28000000000003, 'sat': 298.848, 'sod': 10344.0, 'sug': 7.5600000000000005}, {'fat': 1.2600000000000002, 'nrg': 108.0, 'pro': 4.32, 'sat': 0.5760000000000001, 'sod': 0.0, 'sug': 0.18}]","{'fat': 'orange', 'salt': 'orange', 'saturates': 'red', 'sugars': 'green'}","{'energy': 157.29414240197053, 'fat': 9.750998539503188, 'protein': 11.306752195555093, 'salt': 0.7689546165897534, 'saturates': 5.1218129796935665, 'sugars': 3.0957478768974345}","['1', '14', '10', '2', '12', '12', '18']","['teaspoon', 'cup', 'ounce', 'cup', 'cup', 'cup', 'teaspoon']","[4.666666666666666, 2240.0, 283.495, 170.0, 2520.0, 1584.0, 41.4]"
Cracker Barrel Biscuits,"['wheat flour, white, all-purpose, unenriched', 'leavening agents, baking powder, double-acting, sodium aluminum sulfate', 'salt, table', 'butter, without salt', 'milk, buttermilk, fluid, cultured, lowfat']","['Mix all ingredients together.', 'Roll out and cut, or simply shape into thick balls and place on a greased cookie sheet.', 'Bake at 375 degrees for 10 minutes or until the bottoms of the biscuits are brown.']","[{'fat': 2.46, 'nrg': 910.0, 'pro': 25.82, 'sat': 0.388, 'sod': 4.0, 'sug': 0.68}, {'fat': 0.0, 'nrg': 5.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1220.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1162.5, 'sug': 0.0}, {'fat': 2396.16, 'nrg': 21216.0, 'pro': 24.96, 'sat': 1491.1519999999998, 'sod': 416.0, 'sug': 2.08}, {'fat': 49.68000000000001, 'nrg': 2254.0, 'pro': 186.52999999999997, 'sat': 30.889, 'sod': 10718.0, 'sug': 270.02}]","{'fat': 'red', 'salt': 'orange', 'saturates': 'red', 'sugars': 'green'}","{'energy': 275.44024127141904, 'fat': 27.654719815657785, 'protein': 2.6805299838474657, 'salt': 0.38180128994363555, 'saturates': 17.196563915464637, 'sugars': 3.0811806034044564}","['2', '2 1/2', '1/2', '13', '23']","['cup', 'teaspoon', 'teaspoon', 'cup', 'cup']","[250.0, 11.499999999999998, 3.0, 2953.6, 5635.0]"
Fresh Grapes & Nut Snack,"['grapes, red or green (european type, such as thompson seedless), raw', 'nuts, almonds', 'spices, cinnamon, ground']","['MIX grapes, almonds and cinnamon in small bowl.', 'DIVIDE into 4 equal portions and serve.']","[{'fat': 0.72, 'nrg': 312.0, 'pro': 3.2700000000000005, 'sat': 0.246, 'sod': 9.0, 'sug': 70.11}, {'fat': 23.8, 'nrg': 276.0, 'pro': 10.079999999999998, 'sat': 1.8123333333333334, 'sod': 0.3333333333333333, 'sug': 2.0733333333333333}, {'fat': 0.014999999999999998, 'nrg': 3.0, 'pro': 0.05, 'sat': 0.0045, 'sod': 0.0, 'sug': 0.029999999999999995}]","{'fat': 'orange', 'salt': 'green', 'saturates': 'green', 'sugars': 'orange'}","{'energy': 117.7369015206853, 'fat': 4.887774752639618, 'protein': 2.6694999667972636, 'salt': 0.0046483830267614054, 'saturates': 0.4109502623016137, 'sugars': 14.386081413108439}","['3', '1/3', '1/2']","['cup', 'cup', 'teaspoon']","[453.0, 47.666666666666664, 1.3]"
Master Pie Crust,"['wheat flour, white, all-purpose, unenriched', 'shortening, vegetable, household, composite', 'butter, without salt', 'salt, table', 'sugars, granulated', 'water, bottled, generic']","['Cube butter into 1/4 or 3/8 inch pieces.', 'Place in small bowl and refrigerate.', 'Measure one 1/2 cup of vegetable shortening and refrigerate.', 'Mix salt in ice water and keep chilled in refrigerator.', 'In a food processor combine flour and sugar.', 'Pulse two or three times to mix well.', 'Add butter to processor and pulse several times.', 'Add shortening and pulse until the mixture looks coarse and pale yellow.', 'Place mixture into a large bowl and add three tablespoons of ice water.', 'Knead the dough and water mixture until a loose ball forms.', 'Add water one tablespoon at a time until mixture comes together.', 'Be careful not to over knead as this will make a less flaky crust.', 'Form pastry into a ball with your hands and divide into two pieces, one slightly larger than the other.', 'Press into small disks on a sheet of wax paper and refrigerate for at least 30 minutes.', 'Roll disks out on floured wax paper until the pastry is about 12 inches round and about 1/8 inch thick.', 'Transfer to pie pan.', 'Fill with fruit and add top crust.', 'Cut vents to allow steam to escape.']","[{'fat': 3.075, 'nrg': 1137.5, 'pro': 32.275, 'sat': 0.485, 'sod': 5.0, 'sug': 0.8500000000000001}, {'fat': 2457.6000000000004, 'nrg': 21696.0, 'pro': 0.0, 'sat': 613.8240000000001, 'sod': 192.0, 'sug': 0.0}, {'fat': 103.67999999999999, 'nrg': 918.0, 'pro': 1.08, 'sat': 64.521, 'sod': 18.0, 'sug': 0.09}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 48.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 12.570000000000002}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 88.02080416083216, 'sug': 0.0}]","{'fat': 'red', 'salt': 'green', 'saturates': 'red', 'sugars': 'green'}","{'energy': 431.0007766937998, 'fat': 46.43958892912157, 'protein': 0.6040476021186029, 'salt': 0.11898138697880027, 'saturates': 12.293378316479426, 'sugars': 0.24466146318759788}","['2 1/2', '12', '9', '1', '1', '12']","['cup', 'cup', 'tablespoon', 'teaspoon', 'tablespoon', 'cup']","[312.5, 2457.6000000000004, 127.8, 6.0, 12.600000000000001, 2605.4158031606325]"
Potato-Leek Gratin,"['butter, without salt', 'leeks, (bulb and lower leaf-portion), raw', 'salt, table', 'spices, thyme, dried', 'spices, nutmeg, ground', 'spices, pepper, black', 'cream, fluid, heavy whipping', 'cheese, gruyere', 'cheese, parmesan, hard', 'potatoes, raw, skin', 'chives, raw']","['In 12"" nonstick fry pan over medium heat, melt 4 Tbs.', 'butter.', 'Add leeks and salt, stirring to coat leeks with butter.', 'Cover and cook, stirring occasionally, until leeks are tender, about 20 minutes.', 'Add thyme, nutmeg, pepper, and cream.', 'Simmer, uncovered, stirring occasionally, until thickened, about 15 minutes.', 'Transfer to bowl.', 'Let cool.', 'Wipe out pan, grease, with 1 Tbs.', 'butter.', 'Preheat oven to 400 degrees F.', 'In bowl, combine cheeses.', 'Layer one-third of potatoes in fry pan.', 'Spread one-third of leek mixture on top.', 'Sprinkle with one-third of cheeses, then', '1 Tbs.', 'chives.', 'Repeat layering, two more times, reserving 1 Tbs.', 'chives.', 'Cover pan; transfer to oven.', 'Bake 45 minutes.', 'Remove lid and bake until potatoes are tender and crust is golden brown, about 30 minutes more.', 'Sprinkle remaining chives on top.', 'Let stand 15 minutes before serving.']","[{'fat': 57.599999999999994, 'nrg': 510.0, 'pro': 0.6, 'sat': 35.845, 'sod': 10.0, 'sug': 0.05}, {'fat': 5.443104, 'nrg': 1106.76448, 'pro': 27.215519999999998, 'sat': 0.7257472, 'sod': 362.8736, 'sug': 70.760352}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 10462.5, 'sug': 0.0}, {'fat': 0.07, 'nrg': 3.0, 'pro': 0.09, 'sat': 0.027, 'sod': 1.0, 'sug': 0.02}, {'fat': 11.2, 'nrg': 168.0, 'pro': 1.8199999999999998, 'sat': 7.993999999999999, 'sod': 0.0, 'sug': 0.98}, {'fat': 2.3800000000000003, 'nrg': 204.0, 'pro': 8.16, 'sat': 1.088, 'sod': 0.0, 'sug': 0.34}, {'fat': 43.3, 'nrg': 408.0, 'pro': 3.41, 'sat': 27.638, 'sod': 32.0, 'sug': 3.5}, {'fat': 55.009369799999995, 'nrg': 702.5006099999999, 'pro': 50.70591569999999, 'sat': 32.170445609999994, 'sod': 1214.4925799999999, 'sug': 0.6123491999999999}, {'fat': 21.968027549999995, 'nrg': 333.39011999999997, 'pro': 30.404838749999996, 'sat': 13.956458849999999, 'sod': 1170.2673599999998, 'sug': 0.6803879999999999}, {'fat': 1.3607759999999998, 'nrg': 789.2500799999998, 'pro': 34.97194319999999, 'sat': 0.3538017599999999, 'sod': 136.0776, 'sug': 0.0}, {'fat': 0.06, 'nrg': 3.0, 'pro': 0.30000000000000004, 'sat': 0.012, 'sod': 0.0, 'sug': 0.18}]","{'fat': 'orange', 'salt': 'orange', 'saturates': 'orange', 'sugars': 'green'}","{'energy': 112.22671605142105, 'fat': 5.266154282807306, 'protein': 4.18545528953907, 'salt': 0.8885175362817221, 'saturates': 3.180282625479141, 'sugars': 2.047177133586362}","['5', '4', '1 1/2', '1', '14', '34', '1', '6', '3', '3', '3']","['tablespoon', 'pound', 'tablespoon', 'teaspoon', 'teaspoon', 'teaspoon', 'cup', 'ounce', 'ounce', 'pound', 'tablespoon']","[71.0, 1814.368, 27.0, 1.0, 30.799999999999997, 78.19999999999999, 120.0, 170.09699999999998, 85.04849999999999, 1360.7759999999998, 9.0]"
Smooth Bagels Made With Homemade Bread Starter,"['wheat flours, bread, unenriched', 'wheat flour, white, cake, enriched', 'wheat flours, bread, unenriched', 'honey', 'water, bottled, generic', 'salt, table']","['Mix all the ingredients together.', 'When the dough is no longer floury, take it out onto a work surface and knead it well, putting your weight into it (about 15 minutes).', 'Bagel dough is stiff, so keep kneading patiently.', 'Divide into 4 or 5 portions, round off each portion into a ball and leave to rest for 30 to 40 minutes (depending on the season).', 'When the dough has rested, roll out each portion in the order they were formed into balls, and deflate them.', 'Roll each piece of dough very tightly into long sausage shapes, so that no air pockets are included.', 'If the dough is on the dry side, wet your fingers and pinch the seams closed very well.', 'Roll each sausage of dough out so that it becomes long and thin.', 'Make one end skinnier and flatten the other end.', 'Put the skinny end on top of the flattened end to form a ring.', ""Here's how the ring looks."", 'Line up the links on pieces of parchment paper, and leave to rise for 60 minutes.', ""(It's best to put then on individual pieces of paper so that they are easier to boil later.)"", 'Start boiling the water and preheat the oven to 250C 5 minutes before the dough has finished rising!', 'Put honey in the boiling water.', 'If you have a gas oven, preheat to 210C.', 'Start boiling the bagels!', 'Boil them in the order they were formed, paper and all, 30 seconds per side.', ""If the water is boiling so fast that it's bubbling, the dough will get damaged."", 'When all the bagels are boiled, put them in the oven as quickly as possible.', 'If you leave them after they have been boiled they will get wrinkled.', 'Bake for 15 to 20 minutes at 200C.', 'Please adjust the time depending on your oven and the weather.', 'Done!', 'Be careful not to let them burn!']","[{'fat': 3.32, 'nrg': 722.0, 'pro': 23.96, 'sat': 0.488, 'sod': 4.0, 'sug': 0.62}, {'fat': 0.43, 'nrg': 181.0, 'pro': 4.1, 'sat': 0.0635, 'sod': 1.0, 'sug': 0.155}, {'fat': 1.66, 'nrg': 361.0, 'pro': 11.98, 'sat': 0.244, 'sod': 2.0, 'sug': 0.31}, {'fat': 0.0, 'nrg': 64.4375, 'pro': 0.06375, 'sat': 0.0, 'sod': 0.875, 'sug': 17.399375}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 3.36, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 1162.5, 'sug': 0.0}]","{'fat': 'green', 'salt': 'orange', 'saturates': 'green', 'sugars': 'green'}","{'energy': 280.47202167875207, 'fat': 1.1422092776529182, 'protein': 8.467074920272315, 'salt': 0.6195244946885157, 'saturates': 0.16795332354397347, 'sugars': 3.9025923505759077}","['200', '50', '100', '1', '100', '1/2']","['g', 'g', 'g', 'tablespoon', 'ml', 'teaspoon']","[200.0, 50.0, 100.0, 21.1875, 99.456, 3.0]"
Vegetable Smoothie,"['tomatoes, red, ripe, raw, year round average', 'peppers, sweet, green, raw', 'pickles, cucumber, sour', 'lemon juice, raw', 'onions, spring or scallions (includes tops and bulb), raw', 'sauce, worcestershire', 'salt, table', 'spices, pepper, black', 'spices, pepper, black']","['Combine all ingredients in a blender and process until smooth, about 3 minutes.', 'Chill for at least 30 minutes.', 'Fill 4 glasses with ice and divide the smoothie mixture evenly among them.', 'Serve immediately.', 'Enjoy!']","[{'fat': 0.6, 'nrg': 54.0, 'pro': 2.62, 'sat': 0.084, 'sod': 14.0, 'sug': 7.84}, {'fat': 3.0, 'nrg': 360.0, 'pro': 15.36, 'sat': 1.032, 'sod': 48.0, 'sug': 42.96}, {'fat': 3.7199999999999998, 'nrg': 204.0, 'pro': 6.12, 'sat': 0.972, 'sod': 22464.0, 'sug': 19.68}, {'fat': 0.110625, 'nrg': 10.125, 'pro': 0.159375, 'sat': 0.018375000000000002, 'sod': 0.375, 'sug': 1.1531250000000002}, {'fat': 0.02375, 'nrg': 4.0, 'pro': 0.22875, 'sat': 0.004, 'sod': 2.0, 'sug': 0.29125}, {'fat': 0.0, 'nrg': 8.666666666666666, 'pro': 0.0, 'sat': 0.0, 'sod': 111.33333333333333, 'sug': 1.14}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 32549.999999999996, 'sug': 0.0}, {'fat': 0.98, 'nrg': 84.0, 'pro': 3.36, 'sat': 0.44799999999999995, 'sod': 0.0, 'sug': 0.13999999999999999}, {'fat': 0.98, 'nrg': 84.0, 'pro': 3.36, 'sat': 0.44799999999999995, 'sod': 0.0, 'sug': 0.13999999999999999}]","{'fat': 'green', 'salt': 'red', 'saturates': 'green', 'sugars': 'green'}","{'energy': 19.423508739628318, 'fat': 0.226090602347912, 'protein': 0.7494776636153683, 'salt': 3.3135164045645387, 'saturates': 0.07219949647573036, 'sugars': 1.7613993411757172}","['2', '12', '12', '3', '2', '2', '14', '14', '14']","['cup', 'cup', 'cup', 'tablespoon', 'tablespoon', 'teaspoon', 'teaspoon', 'teaspoon', 'teaspoon']","[298.0, 1788.0, 1860.0, 45.75, 12.5, 11.333333333333332, 83.99999999999999, 32.199999999999996, 32.199999999999996]"
Plum & Papaya Salsa,"['plums, raw', 'papayas, raw', 'onions, spring or scallions (includes tops and bulb), raw', 'spices, coriander seed', 'peppers, jalapeno, raw', 'sugars, brown', 'vinegar, red wine']","['Combine all ingredients.', 'Cover and chill before serving.', 'Store in airtight container in refrigerator.']","[{'fat': 0.92, 'nrg': 152.0, 'pro': 2.3, 'sat': 0.056, 'sod': 0.0, 'sug': 32.74}, {'fat': 0.5700000000000001, 'nrg': 93.0, 'pro': 1.02, 'sat': 0.17550000000000002, 'sod': 18.0, 'sug': 17.009999999999998}, {'fat': 2.2800000000000002, 'nrg': 384.0, 'pro': 21.96, 'sat': 0.384, 'sod': 192.0, 'sug': 27.96}, {'fat': 0.9600000000000001, 'nrg': 15.0, 'pro': 0.66, 'sat': 0.054, 'sod': 3.0, 'sug': 0.0}, {'fat': 0.0103125, 'nrg': 0.8125, 'pro': 0.025625, 'sat': 0.00259375, 'sod': 0.09375, 'sug': 0.1159375}, {'fat': 0.0, 'nrg': 33.0, 'pro': 0.0, 'sat': 0.0, 'sod': 3.0, 'sug': 8.73}, {'fat': 0.0, 'nrg': 9.0, 'pro': 0.03, 'sat': 0.0, 'sod': 3.0, 'sug': 0.0}]","{'fat': 'green', 'salt': 'green', 'saturates': 'green', 'sugars': 'green'}","{'energy': 37.95776253341899, 'fat': 0.26198075342134536, 'protein': 1.436688704206476, 'salt': 0.030271393338998153, 'saturates': 0.037144307889991915, 'sugars': 4.783648698127155}","['2', '1 1/2', '12', '1', '1 1/2', '1', '3']","['cup', 'cup', 'cup', 'tablespoon', 'teaspoon', 'tablespoon', 'tablespoon']","[330.0, 217.5, 1200.0, 5.4, 2.8125, 9.0, 44.7]"
Hearty Golden Chowder,"['water, bottled, generic', 'potatoes, raw, skin', 'carrots, raw', 'celery, raw', 'onions, raw', 'chives, raw', 'salt, table', 'spices, pepper, black', 'butter, without salt', 'wheat flour, white, all-purpose, unenriched', 'milk, fluid, 1% fat, without added vitamin a and vitamin d', 'cheese, cheddar']","['Bring water, vegetables, chives and seasonings to boil in medium saucepan on high heat.', 'Reduce heat to low; cover.', 'Simmer 10 minutes.', 'Do not drain.', 'Melt butter in large saucepan on low heat.', 'Stir in flour.', 'Cook 2 minutes or until bubbly.', 'Gradually add milk, stirring until well blended.', 'Cook on medium heat until mixture boils and thickens, stirring constantly.', 'Add cheese; cook until melted, stirring constantly.', 'Add vegetable mixture; cook until heated through.', 'Do not boil.']","[{'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 16.0, 'sug': 0.0}, {'fat': 0.3, 'nrg': 174.0, 'pro': 7.709999999999999, 'sat': 0.078, 'sod': 30.0, 'sug': 0.0}, {'fat': 0.155, 'nrg': 26.0, 'pro': 0.595, 'sat': 0.0235, 'sod': 44.0, 'sug': 3.035}, {'fat': 0.085, 'nrg': 8.0, 'pro': 0.35, 'sat': 0.021, 'sod': 40.5, 'sug': 0.675}, {'fat': 0.04, 'nrg': 16.0, 'pro': 0.44, 'sat': 0.01675, 'sod': 1.5, 'sug': 1.695}, {'fat': 0.02, 'nrg': 1.0, 'pro': 0.1, 'sat': 0.004, 'sod': 0.0, 'sug': 0.06}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 0.00875, 'nrg': 0.75, 'pro': 0.029999999999999995, 'sat': 0.004, 'sod': 0.0, 'sug': 0.00125}, {'fat': 46.08, 'nrg': 408.0, 'pro': 0.48, 'sat': 28.676, 'sod': 8.0, 'sug': 0.04}, {'fat': 0.3075, 'nrg': 113.75, 'pro': 3.2275, 'sat': 0.0485, 'sod': 0.5, 'sug': 0.085}, {'fat': 4.74, 'nrg': 204.0, 'pro': 16.44, 'sat': 3.09, 'sod': 214.0, 'sug': 25.38}, {'fat': 87.94, 'nrg': 1066.0, 'pro': 60.38, 'sat': 49.808, 'sod': 1724.0, 'sug': 1.26}]","{'fat': 'orange', 'salt': 'orange', 'saturates': 'orange', 'sugars': 'green'}","{'energy': 113.50610077710186, 'fat': 7.858293188930693, 'protein': 5.049544639403636, 'salt': 0.6193607370160695, 'saturates': 4.600428988361053, 'sugars': 1.8133548999613205}","['2', '2', '1/2', '1/2', '1/4', '1', '1', '1', '1/4', '1/4', '2', '2']","['cup', 'cup', 'cup', 'cup', 'cup', 'tablespoon', 'teaspoon', 'dash', 'cup', 'cup', 'cup', 'cup']","[473.6, 300.0, 64.0, 50.5, 40.0, 3.0, 6.0, 0.2875, 56.8, 31.25, 488.0, 264.0]"
